"","ID","DemAffl","DemAge","DemClusterGroup","DemGender","DemReg","DemTVReg","PromClass","PromSpend","PromTime","TargetBuy"
"58",83852,13,NA,"A","F","South East","London","Silver",5000,4,0
"59",84573,10,57,"E","F","Midlands","Midlands","Silver",50,11,0
"60",87750,6,45,"F","M","Midlands","Midlands","Tin",0.01,4,0
"61",89796,11,75,"B","F","Midlands","East","Silver",3052.66,8,1
"62",91588,8,37,"E","F","North","Yorkshire","Tin",0.01,5,1
"63",93564,13,61,"E","U","South West","S West","Silver",3000,8,0
"64",95036,12,61,"B","F","missing","missing","Silver",1020,9,0
"65",95982,19,39,"A","F","North","Yorkshire","Tin",0.01,8,1
"66",97802,7,55,"missing","M","Midlands","Ulster","Silver",2000,1,0
"67",102385,8,57,"B","M","Scottish","C Scotland","Gold",9000,9,0
"68",103225,13,18,"C","F","South East","S & S East","Gold",6000,1,0
"69",108413,5,56,"A","U","North","N West","Silver",3000,8,0
"70",109819,9,50,"D","F","North","N East","Gold",20000,4,0
"71",113743,NA,54,"F","F","North","N West","Silver",2000,2,0
"72",117498,11,67,"B","U","North","N East","Platinum",22000,8,0
"73",118397,7,78,"E","F","Midlands","Midlands","Silver",2000,24,0
"74",121312,5,61,"C","F","Midlands","Midlands","Tin",0.01,5,0
"75",121495,5,45,"B","missing","South East","London","Silver",600,11,0
"76",124710,11,66,"A","F","South East","London","Silver",2000,5,0
"77",126098,2,51,"C","U","North","Yorkshire","Gold",10000,5,0
"78",126586,3,NA,"C","F","Midlands","Midlands","Gold",15000,1,0
"79",127892,10,60,"B","missing","North","N West","Silver",1020,9,0
"80",129283,9,48,"C","M","Midlands","East","Silver",3000,2,0
"81",129410,8,53,"C","F","South East","S & S East","Silver",100,1,0
"82",134872,10,72,"E","U","Midlands","Midlands","Gold",12000,8,1
"83",140597,9,68,"E","F","South East","London","Tin",0.01,7,0
"84",144649,8,47,"A","F","Scottish","N Scot","Tin",0.01,5,0
"85",145157,11,39,"E","F","South East","London","Silver",2800,1,1
"86",146730,12,72,"A","F","South East","London","Tin",0.01,8,0
"87",148415,10,67,"E","M","South East","London","Gold",6000,4,0
"88",148849,9,60,"C","F","South East","London","Tin",0.01,8,0
"89",151432,6,NA,"D","M","North","Yorkshire","Gold",9000,3,0
"90",154040,11,52,"F","M","North","N West","Tin",0.01,9,0
"91",156515,7,55,"D","F","Midlands","Midlands","Tin",0.01,8,0
"92",158216,14,65,"missing","M","South East","S & S East","Gold",6053.35,6,0
"93",159522,13,41,"B","M","South East","London","Tin",0.01,7,1
"94",162485,16,34,"D","F","Midlands","East","Silver",3000,3,1
"95",165808,6,40,"D","F","North","N West","Silver",1500,7,1
"96",168394,9,35,"F","F","South East","London","Tin",0.01,4,1
"97",170127,7,50,"B","M","North","Yorkshire","Silver",5000,10,0
"98",181498,6,62,"A","missing","North","N West","Silver",3000,29,0
"99",191396,7,NA,"F","M","North","Yorkshire","Tin",0.01,10,0
"100",192791,9,60,"C","M","Midlands","East","Gold",8100,5,0
"101",197440,8,49,"B","F","North","N West","Gold",7600,4,0
"102",202878,6,57,"F","M","Midlands","Midlands","Silver",2000,8,0
"103",203289,7,52,"F","U","Midlands","Midlands","Platinum",23053.35,6,0
"104",206032,6,75,"F","M","Scottish","C Scotland","Gold",10000,17,0
"105",209732,15,55,"E","missing","Midlands","Midlands","Gold",10000,6,0
"106",213241,5,57,"F","F","missing","missing","Gold",12000,1,0
"107",215554,8,52,"C","F","North","N West","Silver",2500,6,1
"108",217158,12,74,"A","F","Midlands","East","Gold",6000,5,0
"109",223182,9,79,"D","F","South East","London","Silver",5000,5,0
"110",234540,6,48,"D","missing","North","Yorkshire","Silver",420,4,0
"111",239844,11,60,"E","missing","South East","London","Tin",0.01,8,0
"112",243051,3,38,"F","F","North","N West","Silver",50,9,1
"113",248258,9,58,"B","F","North","N West","Silver",5000,5,0
"114",249335,4,52,"D","M","Midlands","Wales & West","Silver",1800,4,0
"115",252646,3,45,"F","F","North","Yorkshire","Silver",100.01,9,0
"116",253839,9,42,"F","F","North","N West","Silver",2000,4,0
"117",256366,10,40,"F","U","Midlands","Midlands","Silver",50,10,0
"118",259802,5,55,"D","missing","Midlands","Midlands","Gold",10100,8,0
"119",262684,8,77,"C","missing","Midlands","Midlands","Gold",6000,3,0
"120",263419,11,27,"C","F","South East","London","Tin",0.01,7,1
"121",267236,4,60,"E","F","North","N West","Tin",0.01,8,0
"122",270962,7,58,"A","U","South East","London","Silver",2500,5,0
"123",271101,7,54,"B","missing","Midlands","Midlands","Tin",0.01,NA,0
"124",274623,7,42,"D","M","North","N West","Tin",0.01,4,0
"125",275700,10,36,"F","F","missing","missing","Silver",1000,9,1
"126",276871,6,NA,"E","F","South East","London","Gold",5500,1,1
"127",277010,4,57,"D","F","South East","London","Tin",0.01,5,0
"128",278661,10,72,"C","F","Midlands","Midlands","Gold",11105.32,8,0
"129",280895,10,NA,"C","F","Midlands","East","Tin",0.01,6,1
"130",282057,7,37,"F","F","North","N West","Tin",0.01,5,0
"131",285846,9,76,"F","F","Midlands","East","Silver",2000,8,1
"132",287628,6,45,"D","F","North","N West","Tin",0.01,5,0
"133",288748,14,NA,"C","F","South East","S & S East","Gold",10000,8,0
"134",290890,NA,51,"F","M","South East","London","Silver",0.02,9,0
"135",293083,15,61,"B","missing","South East","S & S East","Silver",500,2,0
"136",293555,12,61,"B","F","Scottish","N Scot","Silver",4000,1,0
"137",295620,9,47,"missing","M","Midlands","Ulster","Tin",0.01,5,0
"138",297194,8,52,"F","U","Midlands","East","Tin",0.01,8,0
"139",300845,8,40,"E","U","Midlands","Midlands","Silver",1000,1,0
"140",301175,5,56,"D","F","Midlands","Midlands","Tin",0.01,9,0
"141",301981,8,51,"F","F","North","N West","Gold",9000.01,8,0
"142",310786,9,50,"C","F","South East","London","Gold",12000,2,0
"143",312169,4,46,"E","missing","North","N West","Tin",0.01,5,0
"144",312762,8,41,"B","F","South East","S & S East","Silver",1675,7,1
"145",315559,8,60,"B","M","South East","London","Silver",100.01,8,0
"146",315788,10,70,"B","F","South East","S & S East","Silver",2250,8,0
"147",316350,9,50,"D","F","South East","London","Tin",0.01,9,1
"148",317640,15,37,"F","F","Midlands","Midlands","Tin",0.01,8,1
"149",317950,9,74,"C","F","South East","London","Silver",3000,5,0
"150",318922,8,61,"E","missing","South West","S West","Silver",1200,6,1
"151",323039,8,49,"A","missing","North","N West","Silver",4000,3,0
"152",324469,7,NA,"D","F","South East","S & S East","Tin",0.01,8,0
"153",331341,9,53,"B","M","Scottish","C Scotland","Gold",6000,4,0
"154",332658,4,NA,"D","F","Midlands","Midlands","Tin",0.01,5,0
"155",335606,NA,59,"E","U","Scottish","Border","Silver",2500,7,0
"156",340146,7,63,"B","missing","North","N West","Tin",0.01,5,0
"157",342033,7,51,"D","F","North","N West","Silver",3026.67,10,0
"158",343102,5,62,"D","F","North","N West","Platinum",56053.35,7,0
"159",345474,3,46,"C","F","South East","S & S East","Silver",0.1,10,0
"160",345865,10,39,"E","M","North","Yorkshire","Gold",7500,2,1
"161",346225,6,53,"E","M","South East","S & S East","Silver",3000,6,1
"162",346403,10,NA,"D","missing","Midlands","Midlands","Tin",0.01,5,0
"163",347086,7,48,"C","F","South East","London","Silver",5000,4,0
"164",347531,7,62,"B","F","South East","S & S East","Gold",12808.95,11,0
"165",349291,9,26,"B","M","South East","London","Silver",4000,1,0
"166",349739,7,NA,"E","F","North","N East","Silver",2500,5,0
"167",351482,6,43,"E","F","South West","S West","Gold",6000,2,0
"168",356425,7,78,"E","F","Midlands","Midlands","Gold",6000,5,0
"169",356719,3,67,"C","F","Midlands","East","Gold",12049.25,3,0
"170",357898,2,45,"D","F","North","N West","Tin",0.01,5,0
"171",358649,10,60,"D","missing","Scottish","C Scotland","Tin",0.01,5,0
"172",359955,13,68,"E","F","South East","London","Gold",7500,6,0
"173",361283,14,74,"A","U","South East","S & S East","Platinum",20245.89,3,0
"174",362468,5,53,"D","M","Midlands","Midlands","Tin",0.01,8,0
"175",369225,5,51,"C","M","Scottish","C Scotland","Silver",420,8,0
"176",369780,9,NA,"A","F","South East","S & S East","Platinum",25000,1,0
"177",370398,6,51,"F","F","South East","S & S East","Silver",200,1,0
"178",370622,5,51,"A","U","South East","S & S East","Silver",200,2,0
"179",371475,11,36,"C","M","South East","London","Tin",0.01,4,0
"180",374644,8,63,"F","F","Midlands","Wales & West","Gold",6000,2,0
"181",375330,8,69,"C","F","South East","S & S East","Silver",500,9,0
"182",376078,11,40,"D","F","Midlands","Midlands","Tin",0.01,5,1
"183",380113,4,46,"E","F","Midlands","Wales & West","Silver",2165.75,11,0
"184",393347,NA,46,"D","M","South East","S & S East","Tin",0.01,8,0
"185",396192,8,46,"A","F","South East","S & S East","Silver",2245,11,1
"186",397407,9,38,"D","F","North","N West","Tin",0.01,5,1
"187",397660,4,67,"F","M","North","N West","Gold",11000,5,0
"188",400297,11,73,"F","U","North","Yorkshire","Platinum",26000,4,0
"189",403768,5,53,"B","F","Scottish","Border","Gold",9000,8,0
"190",407364,6,55,"E","F","Midlands","Midlands","Silver",5000,4,1
"191",408964,9,54,"A","F","South East","London","Silver",3000,8,0
"192",414832,6,45,"F","M","South East","London","Tin",0.01,5,0
"193",418943,10,39,"C","M","missing","missing","Tin",0.01,4,1
"194",421979,5,58,"E","F","North","N West","Silver",420,4,0
"195",423211,8,33,"D","F","North","N East","Tin",0.01,5,1
"196",434671,11,35,"D","M","South East","London","Tin",0.01,8,1
"197",435961,4,71,"A","M","North","Yorkshire","Gold",6000,12,0
"198",439088,10,55,"B","M","Scottish","Border","Tin",0.01,4,0
"199",442542,NA,57,"D","M","South West","S West","Silver",480,11,0
"200",454702,13,53,"B","M","South East","London","Gold",6871.12,5,0
"201",462705,9,58,"E","F","South East","London","Silver",1500,19,0
"202",467812,13,43,"C","M","North","Yorkshire","Tin",0.01,5,0
"203",473596,8,47,"D","F","South East","London","Tin",0.01,5,0
"204",479403,4,74,"C","M","South East","S & S East","Gold",6000,2,0
"205",481572,10,49,"E","M","North","N East","Silver",5000,1,0
"206",486701,9,58,"D","F","South East","S & S East","Silver",3000,9,0
"207",492566,8,56,"D","F","Midlands","Midlands","Tin",0.01,8,0
"208",498300,5,47,"B","F","South East","S & S East","Gold",6000,1,0
"209",500100,14,30,"F","F","Midlands","Midlands","Silver",100,1,1
"210",502316,3,68,"D","F","South East","S & S East","Platinum",50000,4,1
"211",503053,8,45,"D","F","North","N West","Silver",1000,4,0
"212",518069,7,71,"A","F","South East","London","Gold",12000,6,0
"213",523259,10,65,"D","F","South East","S & S East","Gold",9053.35,8,0
"214",528102,10,74,"C","F","South East","London","Gold",19000,5,0
"215",530042,10,43,"D","F","North","N West","Tin",0.01,5,1
"216",532479,11,44,"E","F","South West","S West","Silver",500,9,0
"217",543004,9,65,"F","U","South East","London","Silver",3000,5,0
"218",543683,7,46,"D","M","South East","S & S East","Gold",17409.76,12,0
"219",553115,8,29,"F","F","Midlands","Midlands","Silver",2000,12,0
"220",580287,7,53,"C","F","Midlands","Wales & West","Tin",0.01,5,1
"221",588784,9,64,"E","M","Midlands","Midlands","Silver",1000,12,0
"222",595233,10,49,"D","M","South East","S & S East","Silver",3000,5,1
"223",598453,17,59,"F","F","South East","London","Gold",12000,8,1
"224",600504,8,37,"F","F","North","N West","Tin",0.01,5,0
"225",601969,5,60,"B","missing","South East","London","Gold",10000,2,0
"226",602906,10,64,"F","missing","North","Yorkshire","Tin",0.01,4,0
"227",604011,3,NA,"C","F","North","N West","Silver",5000,4,0
"228",606316,15,51,"C","F","South East","London","Silver",3000,8,1
"229",607118,8,47,"missing","F","Midlands","Midlands","Tin",0.01,5,0
"230",607444,18,51,"B","F","Midlands","Wales & West","Silver",3000,3,0
"231",608378,5,58,"D","F","Scottish","C Scotland","Silver",3050,11,0
"232",610283,9,46,"A","M","South East","London","Tin",0.01,9,0
"233",611662,5,48,"D","U","South East","London","Tin",0.01,5,0
"234",618284,15,NA,"E","F","Midlands","East","Silver",0.02,NA,1
"235",621358,4,61,"C","F","Midlands","Midlands","Gold",6000,1,0
"236",630888,9,38,"C","F","Midlands","Midlands","Tin",0.01,5,1
"237",633380,7,68,"E","M","South East","S & S East","Gold",15000.01,6,0
"238",633542,12,76,"F","F","Midlands","Wales & West","Gold",6000,2,0
"239",641022,4,56,"D","F","North","Yorkshire","Tin",0.01,8,0
"240",642568,8,73,"A","M","North","N East","Silver",360,1,1
"241",649007,8,37,"D","F","Midlands","Midlands","Tin",0.01,9,1
"242",653500,NA,32,"C","F","Midlands","Midlands","Silver",2500,1,1
"243",663603,11,74,"A","F","South East","London","Silver",3350,4,0
"244",666238,9,65,"D","M","North","Yorkshire","Gold",6107.64,NA,0
"245",667692,5,60,"E","F","Midlands","Midlands","Silver",5000,2,0
"246",669067,10,35,"D","F","Scottish","C Scotland","Silver",1500,4,0
"247",672785,6,46,"C","F","Scottish","N Scot","Gold",6544.99,1,0
"248",674885,3,46,"E","F","South East","London","Gold",6000,5,0
"249",682144,5,70,"E","F","South East","London","Platinum",21684.94,0,0
"250",691178,9,37,"missing","M","Midlands","Ulster","Gold",10000,11,1
"251",693847,4,46,"B","U","South East","S & S East","Gold",6000,3,0
"252",708569,3,68,"E","U","Scottish","C Scotland","Silver",4000,18,0
"253",711616,10,NA,"B","U","Midlands","Midlands","Platinum",50000,4,0
"254",714054,11,NA,"D","U","Midlands","Wales & West","Silver",5000,5,0
"255",723185,12,49,"E","F","South East","London","Silver",3000,3,0
"256",734446,4,63,"E","F","Midlands","Midlands","Silver",3026.67,7,0
"257",741779,4,62,"B","U","Midlands","Midlands","Silver",5000,5,0
"258",742880,5,NA,"E","F","South East","S & S East","Gold",10000,7,1
"259",745421,5,62,"D","missing","Midlands","East","Silver",0.02,8,0
"260",749044,5,74,"C","U","North","N East","Gold",6000,1,0
"261",750840,5,52,"missing","F","South East","S & S East","Tin",0.01,5,0
"262",755931,NA,42,"B","F","North","N West","Tin",0.01,4,0
"263",760641,8,74,"D","missing","Midlands","Midlands","Gold",6000,17,1
"264",764876,7,43,"D","F","South East","S & S East","Tin",0.01,5,0
"265",770264,8,64,"C","F","South East","London","Gold",12000,2,0
"266",775258,12,31,"E","F","North","N West","Silver",1100,9,0
"267",778176,11,41,"D","F","North","N East","Silver",1000,5,0
"268",779199,9,45,"F","F","Midlands","Wales & West","Tin",0.01,8,0
"269",794872,8,67,"C","missing","South East","London","Gold",10000.01,2,0
"270",795267,17,NA,"A","F","South East","London","Silver",1000,13,1
"271",796026,9,40,"C","F","South East","London","Tin",0.01,5,0
"272",802069,7,70,"B","F","South East","S & S East","Gold",12000,2,0
"273",804061,20,NA,"C","F","South East","S & S East","Silver",480,1,1
"274",806994,6,56,"F","missing","Midlands","Midlands","Tin",0.01,5,0
"275",807877,NA,NA,"B","F","South East","London","Gold",8053.35,1,0
"276",811831,15,32,"F","missing","North","Yorkshire","Tin",0.01,5,1
"277",819301,10,51,"missing","M","Midlands","Ulster","Silver",1000,6,0
"278",823066,8,65,"B","missing","South East","London","Silver",50,7,0
"279",823961,8,52,"F","F","Midlands","Wales & West","Gold",6000,2,0
"280",826758,8,NA,"C","F","Scottish","C Scotland","Gold",6000,2,1
"281",827614,6,38,"E","F","South East","S & S East","Tin",0.01,9,1
"282",830380,8,43,"D","F","South East","London","Silver",50,10,0
"283",835404,7,37,"E","M","North","N West","Tin",0.01,5,0
"284",836222,7,42,"C","M","Scottish","N Scot","Tin",0.01,5,0
"285",841013,4,22,"A","U","Midlands","Midlands","Gold",6000,3,0
"286",842486,8,31,"E","U","Midlands","East","Tin",0.01,8,0
"287",848085,15,33,"B","F","North","N West","Silver",0.02,7,1
"288",851396,9,NA,"F","M","South East","London","Silver",600,7,0
"289",853291,8,31,"F","missing","Midlands","Midlands","Silver",5000,1,0
"290",856916,8,54,"D","M","Scottish","C Scotland","Gold",12000,8,0
"291",861820,5,54,"C","F","South East","S & S East","Silver",1000,2,0
"292",870307,9,53,"B","M","North","Yorkshire","Gold",6000,3,0
"293",871095,16,37,"F","F","North","Yorkshire","Tin",0.01,5,1
"294",875694,8,63,"D","missing","South West","S West","Gold",6000,2,0
"295",876623,3,33,"missing","M","North","N West","Tin",0.01,5,0
"296",878812,7,65,"B","F","South East","London","Tin",0.01,8,0
"297",889199,14,39,"E","F","Midlands","Midlands","Silver",50,10,1
"298",897485,9,42,"F","F","Scottish","C Scotland","Gold",6000,2,1
"299",899186,6,67,"E","M","North","Yorkshire","Silver",3000,8,0
"300",903191,11,43,"F","F","Midlands","Midlands","Tin",0.01,5,1
"301",908584,9,NA,"C","M","North","N West","Gold",6000,6,0
"302",909459,8,50,"C","F","South East","S & S East","Silver",0.02,9,0
"303",910007,5,70,"B","missing","Midlands","Midlands","Gold",12000,5,0
"304",918237,13,58,"D","F","Midlands","Midlands","Tin",0.01,8,0
"305",919551,13,50,"missing","F","missing","missing","Tin",0.01,5,1
"306",922366,7,78,"missing","F","Midlands","Ulster","Silver",1250,5,0
"307",929506,5,79,"B","M","Midlands","East","Gold",6000,8,0
"308",935530,8,68,"A","F","South East","London","Silver",800,8,1
"309",943517,9,48,"A","F","South East","London","Silver",600,8,0
"310",946311,9,NA,"C","M","South East","London","Silver",3000,3,0
"311",950033,12,35,"F","M","South West","S West","Silver",1500,5,0
"312",951897,9,38,"D","F","Midlands","East","Tin",0.01,4,1
"313",952729,11,42,"C","M","North","N West","Gold",6041.13,5,0
"314",956155,14,50,"C","M","North","N West","Silver",420.01,4,0
"315",956635,4,63,"C","M","North","N West","Tin",0.01,5,1
"316",963194,9,75,"C","F","South East","London","Gold",6000,1,0
"317",966932,8,50,"D","F","South East","London","Silver",50,8,0
"318",985295,2,58,"D","F","South East","London","Tin",0.01,8,0
"319",994332,8,66,"missing","F","Midlands","Ulster","Silver",500,8,0
"320",997684,6,54,"F","F","South East","London","Silver",50,11,0
"321",1002422,7,54,"D","F","North","N West","Tin",0.01,5,0
"322",1003402,18,38,"F","F","South East","London","Tin",0.01,6,1
"323",1004301,6,NA,"F","M","Midlands","East","Gold",6000,2,0
"324",1008129,8,55,"C","M","South East","London","Silver",1000,5,0
"325",1009060,8,52,"E","M","Scottish","C Scotland","Tin",0.01,4,0
"326",1009931,11,59,"D","F","Midlands","Midlands","Silver",1500,2,0
"327",1011243,6,63,"F","M","South West","S West","Silver",1000,2,1
"328",1011669,15,47,"E","M","North","N West","Tin",0.01,6,0
"329",1012509,6,44,"F","F","South East","London","Tin",0.01,8,0
"330",1013394,7,39,"A","F","South East","London","Tin",0.01,7,0
"331",1018361,5,72,"A","U","Midlands","Midlands","Gold",6000,2,0
"332",1022334,8,38,"F","M","Midlands","Wales & West","Tin",0.01,5,0
"333",1024248,13,72,"D","F","South East","S & S East","Tin",0.01,8,0
"334",1029592,11,NA,"D","M","South East","London","Tin",0.01,4,1
"335",1030302,6,76,"F","missing","Scottish","Border","Silver",3000,8,0
"336",1036084,11,50,"D","missing","North","N East","Silver",3000,8,0
"337",1040227,7,66,"C","F","Midlands","Wales & West","Gold",9000,8,0
"338",1040944,6,51,"E","missing","South East","London","Tin",0.01,5,0
"339",1041231,7,61,"C","missing","Midlands","Midlands","Gold",6107.64,NA,0
"340",1043773,3,63,"C","missing","Midlands","Midlands","Tin",0.01,8,0
"341",1054015,6,78,"F","F","South East","London","Gold",7500,5,0
"342",1055682,9,55,"B","M","Midlands","East","Gold",5672.31,2,0
"343",1060228,7,49,"F","M","Midlands","Midlands","Gold",10000,3,0
"344",1061348,13,70,"B","missing","South East","London","Silver",2884.96,8,0
"345",1068601,6,45,"D","F","Midlands","Midlands","Tin",0.01,4,0
"346",1070037,5,73,"F","F","Scottish","C Scotland","Silver",600,32,0
"347",1070460,8,71,"A","F","South East","London","Platinum",23425,4,1
"348",1072773,14,52,"D","F","South East","London","Gold",7017.55,5,0
"349",1080016,11,52,"D","F","Midlands","East","Tin",0.01,NA,0
"350",1083767,9,64,"F","F","missing","missing","Silver",3000,1,0
"351",1084607,9,57,"C","F","Midlands","Midlands","Gold",9052.66,7,0
"352",1087452,6,NA,"E","F","Midlands","Midlands","Silver",2000,27,0
"353",1091085,10,63,"D","M","North","N West","Gold",6053.34,4,0
"354",1094955,NA,32,"E","F","Midlands","Midlands","Tin",0.01,4,1
"355",1097474,20,39,"C","M","North","N West","Tin",0.01,8,1
"356",1098918,7,35,"C","F","Midlands","Midlands","Tin",0.01,4,1
"357",1101579,8,58,"F","F","Midlands","Wales & West","Silver",1930,9,0
"358",1103288,10,40,"C","F","Midlands","Midlands","Tin",0.01,4,1
"359",1104136,13,NA,"C","M","South East","S & S East","Silver",980,5,1
"360",1108646,9,61,"A","F","South East","London","Gold",12150,11,0
"361",1111434,13,70,"C","F","North","N West","Silver",500,11,0
"362",1115014,12,NA,"D","F","Midlands","Midlands","Gold",9000,11,0
"363",1117629,7,NA,"D","F","Midlands","Midlands","Tin",0.01,8,0
"364",1128353,5,70,"F","F","North","N West","Silver",3500,5,0
"365",1131451,6,60,"A","F","Midlands","Wales & West","Gold",10000,4,0
"366",1134051,14,77,"B","F","South East","S & S East","Silver",4884.25,11,0
"367",1135724,10,74,"E","F","South East","S & S East","Silver",4500,12,0
"368",1136585,7,67,"D","F","Midlands","Wales & West","Silver",3000,5,0
"369",1137492,7,51,"D","M","Midlands","Midlands","Gold",17000,11,1
"370",1138235,18,37,"C","F","Midlands","Midlands","Silver",50.01,8,1
"371",1143662,8,35,"F","missing","North","N West","Gold",5044.46,5,0
"372",1150820,5,58,"C","F","Scottish","N Scot","Gold",6000,22,0
"373",1151037,6,27,"D","F","South East","S & S East","Silver",5,7,0
"374",1154958,5,72,"B","U","South East","London","Platinum",32050,12,0
"375",1156179,9,70,"D","F","South East","London","Gold",6000,8,0
"376",1162020,7,NA,"F","F","Midlands","Wales & West","Tin",0.01,2,0
"377",1164910,7,51,"E","M","North","N West","Tin",0.01,10,0
"378",1176846,9,31,"F","F","missing","missing","Silver",1064.45,1,1
"379",1178520,10,58,"F","F","Midlands","Wales & West","Silver",3000.01,8,0
"380",1179462,10,73,"E","F","Midlands","Wales & West","Tin",0.01,6,0
"381",1184199,7,38,"F","F","South East","London","Silver",4500,4,0
"382",1186671,7,71,"A","F","South East","London","Silver",2000,3,1
"383",1190369,22,50,"C","M","South East","London","Silver",3000,6,1
"384",1191357,9,NA,"missing","U","Midlands","Wales & West","Silver",2000,4,0
"385",1192051,6,51,"C","F","Midlands","Midlands","Silver",3500,27,0
"386",1195654,10,33,"D","F","Midlands","Wales & West","Tin",0.01,8,0
"387",1196413,6,67,"A","U","Midlands","Midlands","Silver",5000,4,0
"388",1201212,NA,78,"B","M","South East","S & S East","Silver",3000,8,0
"389",1214039,8,64,"A","F","South East","London","Gold",20000,4,1
"390",1214934,9,50,"F","F","South East","London","Silver",5000,4,0
"391",1219553,8,76,"E","U","North","N West","Gold",6000,15,0
"392",1220462,5,41,"F","F","South East","London","Gold",6000,3,0
"393",1225006,12,50,"D","M","Scottish","C Scotland","Tin",0.01,7,1
"394",1227807,13,54,"A","F","South West","S West","Gold",12078.35,30,0
"395",1237713,13,45,"B","F","South East","S & S East","Silver",3000,8,0
"396",1238604,NA,72,"B","F","South East","London","Silver",50.01,13,0
"397",1245880,7,41,"F","missing","North","N West","Tin",0.01,9,0
"398",1246933,10,59,"B","M","South East","S & S East","Silver",780,2,0
"399",1250647,9,68,"C","missing","Midlands","Midlands","Silver",4000,5,1
"400",1260758,9,66,"D","M","Scottish","C Scotland","Silver",2000,9,0
"401",1263749,5,52,"B","M","North","Yorkshire","Tin",0.01,11,0
"402",1265857,8,73,"missing","M","Midlands","Ulster","Gold",6000,6,0
